Fahrzeugklasse;Fahrzeugart_Code;Fahrzeugart;SUV;Marken_Code;Marke;Marke_und_Typ;Typ1;Typ2;Typ3;Typ4;Typengenehmigungs.Nr;Typengenehmigungs.Nr_Zusatz;Typ;Variante;Version;Fahrgestell.Nr_Teil;Karosserieform_Code;Karosserieform;Farbe;Farbe_Zusatz;Sitzplätze;Sitzplätze_vorne;Stehplätze;Leergewicht;Nutzlast;Gesamtgewicht;Gesamtzugsgewicht;Anhängelast;Dachlast;Tankinhalt_Aufbaus;Hubraum;Zylinder;Leistung;Motorkennzeichen;Treibstoff_Code;Treibstoff;Hybridcode;CO2.WLTP;CO2.NEFZ;El.Verbrauch;Emissionscode;Getriebe_Code;Getriebe;Getriebe_Detailcode;Antrieb_Code;Antrieb;Achsen;Erstinverkehrsetzung_Jahr;Erstinverkehrsetzung_Monat;Erstinverkehrsetzung_Kanton;Erstinverkehrsetzung_Staat;Gebrauchtcode;Ersterfassung_Jahr;Ersterfassung_Monat;Schildfarbe_Code;Schildfarbe;Schildart_Code;Schildart;Inverkehrsetzung_Status_Code;Inverkehrsetzung_Kanton;PLZ;Staat_Code;Staat;Datenstand
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA495;;;;;VNKKJ3D390A......;163;Limousine;Rot;Metallic;5;2;0;1125;355;1480;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;118;;B5b;S;Stufenlos;S;V;Vorderrad;2;2012;4;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VD;14..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA495;;;;;VNKKJ3D390A......;163;Limousine;Rot;Metallic;5;2;0;1135;345;1480;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;118;;B5b;S;Stufenlos;S;V;Vorderrad;2;2012;9;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VS;19..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA609;;;;;VNKKJ3D320A......;163;Limousine;Grau;Metallic;5;2;0;1121;369;1490;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;114;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2014;10;BL;;;NA;NA;0;Weiss;N;Normalschild;I;BL;41..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA475;;;;;VNKKH96340A......;163;Limousine;Grau;Metallic;5;2;0;1155;325;1480;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;120;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2010;10;SG;;;NA;NA;0;Weiss;N;Normalschild;I;TG;85..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA475;;;;;VNKKH96300A......;163;Limousine;Beige;Metallic;5;2;0;1155;325;1480;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;120;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2010;11;SH;;;NA;NA;0;Weiss;N;Normalschild;I;ZH;80..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA563;;;;;VNKKJ3D370A......;163;Limousine;Schwarz;Metallic;5;2;0;1115;355;1470;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;127;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2014;1;GE;;;NA;NA;0;Weiss;N;Normalschild;I;GE;12..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA475;;;;;VNKKH96360A......;163;Limousine;Blau;Metallic;5;2;0;1115;365;1480;0;0;70;0;1329;4;73;;B;Benzin;N/A;0;119;;B5b;M;Mechanisch;M6A;V;Vorderrad;2;2011;9;SO;;;NA;NA;0;Weiss;N;Normalschild;I;VD;14..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA495;;;;;VNKKJ3D360A......;163;Limousine;Weiss;;5;2;0;1115;355;1470;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;123;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2013;5;VS;;;NA;NA;0;Weiss;N;Normalschild;I;VS;19..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA590;;;;;VNKKJ3D370A......;163;Limousine;Weiss;;5;2;0;1125;355;1480;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;127;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2013;9;BL;;;NA;NA;0;Weiss;N;Normalschild;I;AG;43..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1XC521;;;;;VNKKJ3D390A......;163;Limousine;Grau;Metallic;5;2;0;1150;320;1470;0;0;70;0;1329;4;73;;B;Benzin;N/A;0;123;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2012;4;LU;;;NA;NA;0;Weiss;N;Normalschild;I;ZH;86..;CH;Schweiz;01.07.2024
